order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at
16,42,607,704000,2000,credit_card,2017-03-07 4:00:00
61,42,607,704000,2000,credit_card,2017-03-04 4:00:00
521,42,607,704000,2000,credit_card,2017-03-02 4:00:00
1105,42,607,704000,2000,credit_card,2017-03-24 4:00:00
1363,42,607,704000,2000,credit_card,2017-03-15 4:00:00
1437,42,607,704000,2000,credit_card,2017-03-11 4:00:00
1563,42,607,704000,2000,credit_card,2017-03-19 4:00:00
1603,42,607,704000,2000,credit_card,2017-03-17 4:00:00
2154,42,607,704000,2000,credit_card,2017-03-12 4:00:00
2298,42,607,704000,2000,credit_card,2017-03-07 4:00:00
2836,42,607,704000,2000,credit_card,2017-03-28 4:00:00
2970,42,607,704000,2000,credit_card,2017-03-28 4:00:00
3333,42,607,704000,2000,credit_card,2017-03-24 4:00:00
4057,42,607,704000,2000,credit_card,2017-03-28 4:00:00
4647,42,607,704000,2000,credit_card,2017-03-02 4:00:00
4869,42,607,704000,2000,credit_card,2017-03-22 4:00:00
4883,42,607,704000,2000,credit_card,2017-03-25 4:00:00
692,78,878,154350,6,debit,2017-03-27 22:51:43
2493,78,834,102900,4,debit,2017-03-04 4:37:34
1260,78,775,77175,3,credit_card,2017-03-27 9:27:20
2565,78,915,77175,3,debit,2017-03-25 1:19:35
2691,78,962,77175,3,debit,2017-03-22 7:33:25
2907,78,817,77175,3,debit,2017-03-16 3:45:46
3404,78,928,77175,3,debit,2017-03-16 9:45:05
3725,78,766,77175,3,credit_card,2017-03-16 14:13:26
4193,78,787,77175,3,credit_card,2017-03-18 9:25:32
4421,78,969,77175,3,debit,2017-03-09 15:21:35
4716,78,818,77175,3,debit,2017-03-05 5:10:44
491,78,936,51450,2,debit,2017-03-26 17:08:19
494,78,983,51450,2,cash,2017-03-16 21:39:35
512,78,967,51450,2,cash,2017-03-09 7:23:14
618,78,760,51450,2,cash,2017-03-18 11:18:42
1530,78,810,51450,2,cash,2017-03-29 7:12:01
2453,78,709,51450,2,cash,2017-03-27 11:04:04
2496,78,707,51450,2,cash,2017-03-26 4:38:52
2513,78,935,51450,2,debit,2017-03-18 18:57:13
2819,78,869,51450,2,debit,2017-03-17 6:25:51
2822,78,814,51450,2,cash,2017-03-02 17:13:25
3102,78,855,51450,2,credit_card,2017-03-21 5:10:34
3168,78,927,51450,2,cash,2017-03-12 12:23:08
3706,78,828,51450,2,credit_card,2017-03-14 20:43:15
4080,78,946,51450,2,cash,2017-03-20 21:14:00
4312,78,960,51450,2,debit,2017-03-01 3:02:10
4413,78,756,51450,2,debit,2017-03-02 4:13:39
161,78,990,25725,1,credit_card,2017-03-12 5:56:57
1057,78,800,25725,1,debit,2017-03-15 10:16:45
1194,78,944,25725,1,debit,2017-03-16 16:38:26
1205,78,970,25725,1,credit_card,2017-03-17 22:32:21
1385,78,867,25725,1,cash,2017-03-17 16:38:06
1420,78,912,25725,1,cash,2017-03-30 12:23:43
1453,78,812,25725,1,credit_card,2017-03-17 18:09:54
2271,78,855,25725,1,credit_card,2017-03-14 23:58:22
2549,78,861,25725,1,cash,2017-03-17 19:36:00
2774,78,890,25725,1,cash,2017-03-26 10:36:43
2923,78,740,25725,1,debit,2017-03-12 20:10:58
3086,78,910,25725,1,cash,2017-03-26 1:59:27
3152,78,745,25725,1,credit_card,2017-03-18 13:13:07
3441,78,982,25725,1,debit,2017-03-19 19:02:54
3781,78,889,25725,1,cash,2017-03-11 21:14:50
4041,78,852,25725,1,cash,2017-03-02 14:31:12
4506,78,866,25725,1,debit,2017-03-22 22:06:01
4585,78,997,25725,1,cash,2017-03-25 21:48:44
4919,78,823,25725,1,cash,2017-03-15 13:26:46
1365,42,797,1760,5,cash,2017-03-10 6:28:21
1368,42,926,1408,4,cash,2017-03-13 2:38:34
1472,42,907,1408,4,debit,2017-03-12 23:00:22
3539,43,830,1086,6,debit,2017-03-17 19:56:29
4142,54,733,1064,8,debit,2017-03-07 17:05:18
939,42,808,1056,3,credit_card,2017-03-13 23:43:45
2988,42,819,1056,3,cash,2017-03-03 9:09:25
3514,42,726,1056,3,debit,2017-03-24 17:51:05
3078,89,754,980,5,debit,2017-03-13 5:27:58
2495,50,757,965,5,debit,2017-03-04 7:32:45
1564,91,934,960,6,debit,2017-03-23 8:25:49
4848,13,993,960,6,cash,2017-03-27 11:00:45
2308,61,723,948,6,credit_card,2017-03-26 11:29:37
1257,6,942,935,5,credit_card,2017-03-12 19:49:08
2561,6,845,935,5,credit_card,2017-03-16 22:24:30
3533,51,828,935,5,cash,2017-03-17 16:05:35
2040,11,756,920,5,credit_card,2017-03-04 10:51:41
3074,90,877,890,5,debit,2017-03-26 8:08:27
880,60,870,885,5,debit,2017-03-27 20:15:11
1151,82,853,885,5,debit,2017-03-24 20:47:47
2033,88,798,880,5,cash,2017-03-18 4:24:14
4524,26,995,880,5,credit_card,2017-03-09 8:28:31
4953,26,786,880,5,cash,2017-03-17 1:50:18
